# name<TAB>display<TAB>why. Keyed by artistaggregate.name (unique). Only display_name changes;
# name and name_key stay as they are, so every stored link keeps resolving.
# 1. key-stable: normalize_key(display) == name_key, so no URL changes
various　artists	Various Artists	ENT: ideographic space; not an artist either
bob marley  the wailers	Bob Marley & The Wailers	DBL
moda'	Modà	ENT (likely): apostrophe stands in for the accent; same key
wisin  yandel	Wisin & Yandel	DBL: page is 'Wisin y Yandel'
hall  oates	Hall & Oates	DBL
yoshiki fukuyama)	Yoshiki Fukuyama	SCR
willie nelson(merle haggard	Willie Nelson & Merle Haggard	SCR (likely)
nick cave  the bad seeds	Nick Cave & The Bad Seeds	DBL
les misérables original french cast	Les Misérables Original French Cast	ENT: no-break space
simon  garfunkel	Simon & Garfunkel	DBL: raw uploads: 'Simon&Garfunkel', 'Simon + Garfunkel'
earth wind  fire	Earth, Wind & Fire	DBL
fleetwood　ｍａｃ	Fleetwood Mac	ENT: full-width letters
king gizzard  the lizard wizard	King Gizzard & The Lizard Wizard	DBL
sly  the family stone	Sly & The Family Stone	DBL
ike  tina turner	Ike & Tina Turner	DBL
echo  the bunnymen	Echo & The Bunnymen	DBL
jan  dean	Jan & Dean	DBL
kool  the gang	Kool & The Gang	DBL
bob seger  the silver bullet band	Bob Seger & The Silver Bullet Band	DBL
crosby stills nash  young	Crosby, Stills, Nash & Young	DBL
kc  the sunshine band	KC & The Sunshine Band	DBL
toots  the maytals	Toots & The Maytals	DBL
blood sweat  tears	Blood, Sweat & Tears	DBL
gerry  the pacemakers	Gerry & The Pacemakers	DBL
martha reeves  the vandellas	Martha Reeves & The Vandellas	DBL
derek  the dominos	Derek & The Dominos	DBL
# 2. spelling rows that already carry their page's catalogue (alias, 0 titles differ): links land on the page
rolling stones (the)	The Rolling Stones	SCR
beatles (the)	The Beatles	SCR
orchestral manoeuvres in the dark (omd)	Orchestral Manoeuvres in the Dark	DIS
kinks the	The Kinks	SCR
smashing pumpkins the	The Smashing Pumpkins	SCR
black keys (the)	The Black Keys	SCR
black crowes the	The Black Crowes	SCR
offspring the	The Offspring	SCR
cult the	The Cult	SCR
cadillac three the	The Cadillac Three	SCR
killers (the)	The Killers	SCR
kooks (the)	The Kooks	SCR
cranberries the	The Cranberries	SCR
decemberists the	The Decemberists	SCR
tragically hip the	The Tragically Hip	SCR
dandy warhols (the)	The Dandy Warhols	SCR
hives (the)	The Hives	SCR
kills (the)	The Kills	SCR
doors (the)	The Doors	SCR
strokes (the)	The Strokes	SCR
wombats (the)	The Wombats	SCR
white stripes (the)	The White Stripes	SCR
fratellis (the)	The Fratellis	SCR
gathering the	The Gathering	SCR
black eyed peas the	The Black Eyed Peas	SCR
velvet underground (the)	The Velvet Underground	SCR
butterfly effect the	The Butterfly Effect	SCR
prodigy (the)	The Prodigy	SCR
temperance movement the	The Temperance Movement	SCR
libertines (the)	The Libertines	SCR
cure the	The Cure	SCR
brandos the	The Brandos	SCR
fray the	The Fray	SCR
tenors. the	The Tenors	SCR
mountain goats (the)	The Mountain Goats	SCR
beach boys (the)	The Beach Boys	SCR
bee gees (the)	Bee Gees	SCR
jackson 5 (the)	The Jackson 5	SCR
magnetic fields (the)	The Magnetic Fields	SCR
waterboys (the)	The Waterboys	SCR
stranglers  the	The Stranglers	SCR: from 'Stranglers, The'
pretenders (the)	Pretenders	SCR
pixies (the)	Pixies	SCR
afghan whigs (the)	The Afghan Whigs	SCR
eagles (the)	Eagles	SCR
mike   mechanics	Mike + The Mechanics	DBL: 'The' was lost too
chemical brothers (the)	The Chemical Brothers	SCR
human league (the)	The Human League	SCR
agostino gigi d'	Gigi D'Agostino	SCR
gun club  the	The Gun Club	SCR: from 'Gun Club, The'
sisters of mercy (the)	The Sisters of Mercy	SCR
servant (the)	The Servant	SCR
affaire louis trio (l')	L'Affaire Louis Trio	SCR
raconteurs (the)	The Raconteurs	SCR
# 3. own catalogue, key changes: fold first (_aliases_manual.tsv) or accept that song links resolve on the named page
#sorriso maroto - baixarpagode.net	Sorriso Maroto	SITE [titles not on target: 20/162]
#iwan fals - fullalbummp3.net	Iwan Fals	SITE [titles not on target: 21/134]
#tesla (band)	Tesla	DIS [titles not on target: 3/119]
#p.o.d. [payable on death]	P.O.D.	DIS (likely) [titles not on target: 4/122]
#ghostface killah (wu-tang clan)	Ghostface Killah	DIS [titles not on target: 57/100]
#electric light orchestra (elo)	Electric Light Orchestra	DIS (likely) [titles not on target: 8/126]
#mötley crue (crazyshark)	Mötley Crüe	SITE [titles not on target: 6/101]
#celine dion discography	Celine Dion	REL [titles not on target: 13/73]
#they might be giants (tmbg)	They Might Be Giants	DIS [titles not on target: 8/82]
#the rolling stones collection	The Rolling Stones	REL (likely) [titles not on target: 1/72]
#pil (public image ltd.)	Public Image Ltd	DIS (likely) [titles not on target: 1/51]
#olly alexander (years	Olly Alexander (Years & Years)	SCR (likely): cut at '&' [titles not on target: no target page]
#ungu - www.fullalbummp3.net	Ungu	SITE [titles not on target: 3/73]
#tim (1967-) mcgraw	Tim McGraw	SCR: Discogs 'McGraw, Tim (1967-)' [titles not on target: 1/23]
#skid row (us)	Skid Row	DIS (likely) [titles not on target: 3/66]
#tony boy (4)	Tony Boy	DIS [titles not on target: 3/67]
#wasp (we are sexual perverts)	W.A.S.P.	DIS [titles not on target: 21/66]
#metalium [germany]	Metalium	DIS (likely) [titles not on target: 1/69]
#mission (uk)	The Mission	DIS (likely) [titles not on target: 7/101]
#queensryche (remastered)	Queensrÿche	REL [titles not on target: 1/62]
#blur (1993)	Blur	REL [titles not on target: 4/58]
#depeche mode - mode (limited edition boxset) [18cd] (2020) flac [pmedia] ⭐️	Depeche Mode	REL [titles not on target: 0/56]
#ewf (earth wind and fire)	Earth, Wind & Fire	DIS [titles not on target: 2/12]
#h.i.m. (his infernal majesty)	HIM	DIS [titles not on target: 7/53]
#featured) julieta venegas (main	Julieta Venegas	SCR: credit roles '(Main)'/'(Featured)' spliced in [titles not on target: 4/54]
#bruce springsteen - tracks	Bruce Springsteen	REL: 'Tracks' is his 1998 box set [titles not on target: 6/56]
#mudvayne - megadisco.xyz	Mudvayne	SITE [titles not on target: 0/57]
#vishal &amp; shekhar	Vishal & Shekhar	ENT [titles not on target: 9/32]
#celine dion [fazmusic.net]	Celine Dion	SITE [titles not on target: 12/45]
#incubus (2)	Incubus	DIS [titles not on target: 1/51]
#pink (p!nk)	P!nk	DIS [titles not on target: 3/49]
#bad company (3)	Bad Company	DIS [titles not on target: 1/53]
#johnny (1932-2003) cash	Johnny Cash	SCR [titles not on target: 30/53]
#avatar (swe)	Avatar	DIS (likely) [titles not on target: 2/53]
#oh sees) thee oh sees (a.k.a ocs	Thee Oh Sees	SCR (likely) [titles not on target: 7/61]
#tini (martina stoessel)	TINI	DIS (likely) [titles not on target: 4/43]
#dover [www.rizcorp.com]	Dover	SITE [titles not on target: 3/52]
#bob (1941-) dylan	Bob Dylan	SCR [titles not on target: 16/50]
#joaquin sabina  [aticus]	Joaquin Sabina	SITE (likely): [aticus] reads as an uploader tag [titles not on target: 1/43]
#leo (main)	Leo	SCR (unsure): '(Main)' is a credit role [titles not on target: 3/15]
#lujuria (la gruta del mago)	Lujuria	SITE [titles not on target: 9/51]
#official arctic monkeys	Arctic Monkeys	SITE (unsure): may be a fan channel's uploads [titles not on target: 3/47]
#passenger (michael david rosenberg)	Passenger	DIS (likely) [titles not on target: 10/49]
#zucchero_@discos	Zucchero	SITE [titles not on target: 0/29]
#sublime (2)	Sublime	DIS [titles not on target: 3/47]
#elvis presley_@discos	Elvis Presley	SITE [titles not on target: 5/28]
#:of the wand	:Of the Wand & the Moon:	SCR (likely): cut at '&' [titles not on target: no target page]
#chevelle (2)	Chevelle	DIS [titles not on target: 1/46]
#led zeppelin [flac]	Led Zeppelin	REL [titles not on target: 0/24]
#attack attack! (us)	Attack Attack!	DIS (likely) [titles not on target: 2/44]
#machine head (3)	Machine Head	DIS [titles not on target: 8/41]
#sheila on 7 - fullalbummp3.net	Sheila On 7	SITE [titles not on target: 2/43]
#twice (25)	TWICE	DIS [titles not on target: 0/30]
#david bowie :: 2ddl.vg	David Bowie	SITE [titles not on target: 1/28]
